               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087598,             0.01842,             0.05428,           0.0037176,                   1,             0.16016,            0.061827,            0.049458,            0.014858,            0.051468,              0.0704,           0.0032889,           0.0032889
                   1,             0.05183,            0.018535,            0.050708,              0.2563,             0.22586,             0.21631,            0.069467,            0.045302,            0.011419,            0.049547,            0.040378,           0.0066004,           0.0066004
                   2,            0.048674,            0.015048,             0.04841,             0.32773,             0.50911,             0.41613,             0.16827,             0.04117,           0.0086759,            0.045285,            0.010334,           0.0098898,           0.0098898
                   3,            0.044323,            0.012294,            0.043724,             0.26523,             0.77237,             0.42965,             0.15298,             0.04282,           0.0069333,            0.038094,            0.009901,            0.009901,            0.009901
                   4,            0.040792,           0.0089714,            0.034941,             0.78566,              0.8052,             0.89713,             0.50856,            0.032663,           0.0055119,             0.02656,            0.009901,            0.009901,            0.009901
                   5,            0.039414,           0.0075607,             0.02603,             0.86866,             0.92603,             0.94982,              0.5537,            0.032196,           0.0046005,            0.018942,            0.009868,            0.009868,            0.009868
                   6,            0.037096,           0.0069842,            0.019279,             0.89218,             0.87396,             0.95262,             0.59113,            0.033371,           0.0044126,            0.011847,            0.009835,            0.009835,            0.009835
                   7,             0.03618,           0.0064846,             0.01344,             0.95439,              0.9377,              0.9863,             0.62925,            0.030883,           0.0038751,           0.0089354,            0.009802,            0.009802,            0.009802
                   8,            0.033252,           0.0064556,            0.010064,             0.87643,             0.89285,             0.97831,             0.66981,            0.025321,           0.0035947,           0.0072801,            0.009769,            0.009769,            0.009769
                   9,            0.031951,           0.0059846,           0.0086757,             0.95187,             0.98674,             0.98778,             0.64537,            0.026866,           0.0036277,           0.0047913,            0.009736,            0.009736,            0.009736
                  10,            0.029806,           0.0057227,           0.0089744,             0.92675,             0.97881,             0.98569,             0.68176,            0.025702,           0.0034182,           0.0043131,            0.009703,            0.009703,            0.009703
                  11,            0.030757,           0.0058364,           0.0081865,             0.95502,              0.9846,             0.99324,             0.72265,             0.02516,           0.0034458,           0.0045738,             0.00967,             0.00967,             0.00967
                  12,            0.029573,           0.0056176,           0.0076636,             0.86131,             0.90944,             0.96302,             0.71958,            0.021177,           0.0032236,            0.011606,            0.009637,            0.009637,            0.009637
                  13,            0.028031,            0.005554,           0.0064497,             0.94235,             0.95722,             0.97563,             0.71185,            0.022755,           0.0030904,           0.0054469,            0.009604,            0.009604,            0.009604
                  14,            0.028483,           0.0055459,           0.0067695,             0.91709,             0.98067,             0.99205,              0.7909,            0.019452,           0.0035656,           0.0067362,            0.009571,            0.009571,            0.009571
                  15,            0.027595,           0.0056193,           0.0068208,             0.98485,             0.98894,               0.995,             0.74053,            0.022701,           0.0036585,           0.0036699,            0.009538,            0.009538,            0.009538
                  16,            0.026965,           0.0052121,           0.0063196,             0.93259,             0.98889,               0.988,             0.70859,            0.021052,           0.0029855,           0.0039468,            0.009505,            0.009505,            0.009505
                  17,            0.026597,            0.005171,            0.005632,             0.99106,                   1,               0.995,             0.78751,            0.019811,           0.0028798,           0.0031098,            0.009472,            0.009472,            0.009472
                  18,            0.027143,           0.0054298,           0.0054051,             0.96284,             0.98566,               0.995,             0.77499,            0.021778,           0.0030216,           0.0033535,            0.009439,            0.009439,            0.009439
